Period,Birth_Death,Region,Count
2003,Births,Northland region,2022
2003,Births,Auckland region,20112
2003,Births,Waikato region,5442
2003,Births,Bay of Plenty region,3618
2003,Births,Gisborne region,702
2003,Births,Hawke's Bay region,2079
2003,Births,Taranaki region,1374
2003,Births,Manawatu-Wanganui region,2913
2003,Births,Wellington region,6384
2003,Births,Tasman region,537
2003,Births,Nelson region,528
2003,Births,Marlborough region,459
2003,Births,West Coast region,333
2003,Births,Canterbury region,6258
2003,Births,Otago region,2046
2003,Births,Southland region,1230
2003,Births,"Region not stated or
area outside region",99
2003,Births,New Zealand,56133
2003,Deaths,Northland region,1254
2003,Deaths,Auckland region,7164
2003,Deaths,Waikato region,2541
2003,Deaths,Bay of Plenty region,1971
2003,Deaths,Gisborne region,411
2003,Deaths,Hawke's Bay region,1326
2003,Deaths,Taranaki region,921
2003,Deaths,Manawatu-Wanganui region,1908
2003,Deaths,Wellington region,2931
2003,Deaths,Tasman region,291
2003,Deaths,Nelson region,369
2003,Deaths,Marlborough region,327
2003,Deaths,West Coast region,267
2003,Deaths,Canterbury region,3867
2003,Deaths,Otago region,1596
2003,Deaths,Southland region,786
2003,Deaths,"Region not stated or
area outside region",75
2003,Deaths,New Zealand,28011
2004,Births,Northland region,2070
2004,Births,Auckland region,20955
2004,Births,Waikato region,5583
2004,Births,Bay of Plenty region,3831
2004,Births,Gisborne region,750
2004,Births,Hawke's Bay region,2163
2004,Births,Taranaki region,1317
2004,Births,Manawatu-Wanganui region,2916
2004,Births,Wellington region,6327
2004,Births,Tasman region,555
2004,Births,Nelson region,579
2004,Births,Marlborough region,480
2004,Births,West Coast region,399
2004,Births,Canterbury region,6630
2004,Births,Otago region,2172
2004,Births,Southland region,1260
2004,Births,"Region not stated or
area outside region",78
2004,Births,New Zealand,58071
2004,Deaths,Northland region,1191
2004,Deaths,Auckland region,7242
2004,Deaths,Waikato region,2646
2004,Deaths,Bay of Plenty region,2073
2004,Deaths,Gisborne region,363
2004,Deaths,Hawke's Bay region,1218
2004,Deaths,Taranaki region,918
2004,Deaths,Manawatu-Wanganui region,1968
2004,Deaths,Wellington region,2922
2004,Deaths,Tasman region,309
2004,Deaths,Nelson region,381
2004,Deaths,Marlborough region,387
2004,Deaths,West Coast region,255
2004,Deaths,Canterbury region,4179
2004,Deaths,Otago region,1494
2004,Deaths,Southland region,792
2004,Deaths,"Region not stated or
area outside region",84
2004,Deaths,New Zealand,28419
2005,Births,Northland region,2067
2005,Births,Auckland region,20745
2005,Births,Waikato region,5667
2005,Births,Bay of Plenty region,3771
2005,Births,Gisborne region,777
2005,Births,Hawke's Bay region,2115
2005,Births,Taranaki region,1410
2005,Births,Manawatu-Wanganui region,3093
2005,Births,Wellington region,6225
2005,Births,Tasman region,513
2005,Births,Nelson region,519
2005,Births,Marlborough region,471
2005,Births,West Coast region,336
2005,Births,Canterbury region,6603
2005,Births,Otago region,2151
2005,Births,Southland region,1212
2005,Births,"Region not stated or
area outside region",57
2005,Births,New Zealand,57747
2005,Deaths,Northland region,1167
2005,Deaths,Auckland region,6873
2005,Deaths,Waikato region,2520
